chunk,breath
1,13.0
2,12.540192926045016
3,12.45825468273559
4,13.587029344767519
5,12.03366058906031
6,15.719015402331964
7,14.1758702642248
8,14.88346735723048
9,10.645557526955093
10,15.287694246115064
11,12.59541984732825
12,13.75459221160915
13,10.556390977443602
14,11.852465810194794
15,14.9689991142604
16,10.997963340122194
17,13.69950502953855
18,10.171149144254294
19,12.87321830457613
20,10.733944954128425
21,14.242239805234357
22,11.913853673438169
23,13.84489350081926
24,11.001410437235565
25,13.852459016393482
26,9.089731969441965
27,12.394067796610116
28,13.329827790193242
29,13.208284486127365
30,12.185913292540054
31,13.30883318020737
32,13.532630455091358
