chunk,breath
1,11.869366732997772
2,10.759969902182087
3,11.85796503420567
4,10.963347388906909
5,14.419312744671586
6,9.81646565285789
7,13.13822507632381
8,8.76010781671159
9,11.764705882352954
10,12.470930232558143
11,13.609172482552333
12,10.626702997275213
13,8.269525267993865
14,12.309310889005761
15,14.159103043246105
16,10.36915840065444
17,8.408796895213444
18,9.285714285714255
19,8.765029778626841
20,12.00659703133588
21,10.13944693925789
22,10.735735735735718
23,8.53391684901531
24,10.519217801753221
25,9.509032472570102
26,8.26358724441148
