chunk,breath
1,12.901701323251416
2,10.994948901679784
3,11.452343080876057
4,11.898615348509743
5,10.724106324472963
6,12.4547583563977
7,12.375713983499049
8,9.944751381215458
9,11.827739587545487
10,12.458820005989816
11,13.633559531153596
12,9.814169570267119
13,10.526315789473676
14,11.412407335154121
15,11.38243019749001
16,9.424083769633496
17,10.94956382232029
18,12.767263427109986
19,13.493580988800876
20,14.525139664804444
21,16.678545972915167
22,16.14325564654013
23,14.827554992305625
