chunk,breath
1,13.7922904632795
2,12.797374897456928
3,13.18767069840031
4,15.179316096747291
5,10.392441860465116
6,12.008526764566568
7,11.431362970200295
8,14.041404140414052
9,14.673721340387985
10,13.85599242065372
11,13.697026457504087
12,15.812067731934201
13,15.893140140366793
14,13.6794107330761
15,11.337209302325562
16,16.482742427799952
17,11.936433195997653
18,13.051272857655034
19,11.96177893122564
20,12.895606991025074
21,15.156017830609223
22,12.58934747521325
23,13.39712918660291
24,15.12177390039991
25,14.737836561171461
26,12.268284462419954
27,12.53731343283582
