time,ecg,peak
1757168810180.1746,-158,0
1757168810187.867,-156,0
1757168810195.5593,-156,0
1757168810203.2517,-149,0
1757168810210.944,-144,0
1757168810218.6365,-147,0
1757168810226.3289,-144,0
1757168810234.0212,-142,0
1757168810241.7136,-144,0
1757168810249.406,-142,0
1757168810257.0984,-137,0
1757168810264.7908,-140,0
1757168810272.4832,-137,0
1757168810280.1755,-133,0
1757168810287.868,-133,0
1757168810295.5603,-133,0
1757168810303.2527,-131,0
1757168810310.945,-128,0
1757168810318.6375,-124,0
1757168810326.3298,-124,0
1757168810334.0222,-121,0
1757168810341.7146,-114,0
1757168810349.407,-117,0
1757168810357.0994,-119,0
1757168810364.7917,-114,0
1757168810372.4841,-108,0
1757168810380.1765,-108,0
1757168810387.869,-108,0
1757168810395.5613,-105,0
1757168810403.2537,-105,0
1757168810410.946,-101,0
1757168810418.6384,-98,0
1757168810426.3308,-98,0
1757168810434.0232,-94,0
1757168810441.7156,-91,0
1757168810449.408,-94,0
1757168810457.1003,-89,0
1757168810464.7927,-94,0
1757168810472.485,-105,0
1757168810480.1775,-98,0
1757168810487.8699,-89,0
1757168810495.5623,-85,0
1757168810503.2546,-80,0
1757168810510.947,-80,0
1757168810518.6394,-82,0
1757168810526.3318,-78,0
1757168810534.0242,-75,0
1757168810541.7166,-73,0
1757168810527.7566,-64,0
1757168810535.449,-52,0
1757168810543.1414,-41,0
1757168810550.8337,-36,0
1757168810558.5261,-34,0
1757168810566.2185,-41,0
1757168810573.911,-68,0
1757168810581.6033,-96,0
1757168810589.2957,-87,0
1757168810596.988,-66,0
1757168810604.6804,-68,0
1757168810612.3728,-78,0
1757168810620.0652,-98,0
1757168810627.7576,-156,0
1757168810635.45,-131,0
1757168810643.1423,223,0
1757168810650.8347,878,0
1757168810658.527,1457,0
1757168810666.2195,1434,0
1757168810673.9119,505,0
1757168810681.6042,-441,0
1757168810689.2966,-388,0
1757168810696.989,-62,0
1757168810704.6814,-183,0
1757168810712.3738,-259,0
1757168810720.0662,-151,0
1757168810727.7585,-151,0
1757168810735.451,-188,0
1757168810743.1433,-151,0
1757168810750.8357,-128,0
1757168810758.528,-131,0
1757168810766.2205,-112,0
1757168810773.9128,-89,0
1757168810781.6052,-75,0
1757168810789.2976,-62,0
1757168810796.99,-45,0
1757168810804.6824,-29,0
1757168810812.3748,-11,0
1757168810820.0671,11,0
1757168810827.7595,36,0
1757168810835.452,55,0
1757168810843.1443,68,0
1757168810850.8367,91,0
1757168810858.529,110,0
1757168810866.2214,117,0
1757168810873.9138,112,0
1757168810881.6062,96,0
1757168810889.2986,68,0
1757168810896.991,34,0
1757168810904.6833,4,0
1757168810912.3757,-34,0
1757168810920.068,-82,0
1757168810927.7605,-128,0
1757168810935.453,-160,0
1757168810943.1453,-183,0
1757168810950.8376,-206,0
1757168810958.53,-209,0
1757168810966.2224,-197,0
1757168810973.9148,-193,0
1757168810981.6072,-195,0
1757168810989.2996,-190,0
1757168810996.992,-179,0
1757168811004.6843,-170,0
1757168811012.3767,-163,0
1757168811020.069,-160,0
1757168811027.7615,-158,0
1757168811035.4539,-149,0
1757168811043.1462,-137,0
1757168811050.8386,-131,0
1757168811058.531,-126,0
1757168811066.2234,-126,0
1757168811073.9158,-126,0
1757168811081.6082,-119,0
1757168811112.8428,-112,0
1757168811120.5352,-112,0
1757168811128.2275,-114,0
1757168811135.92,-124,0
1757168811143.6123,-144,0
1757168811151.3047,-142,0
1757168811158.997,-124,0
1757168811166.6895,-117,0
1757168811174.3818,-121,0
1757168811182.0742,-124,0
1757168811189.7666,-124,0
1757168811197.459,-117,0
1757168811205.1514,-110,0
1757168811212.8438,-112,0
1757168811220.5361,-112,0
1757168811228.2285,-112,0
1757168811235.921,-117,0
1757168811243.6133,-112,0
1757168811251.3057,-108,0
1757168811258.998,-105,0
1757168811266.6904,-105,0
1757168811274.3828,-108,0
1757168811282.0752,-110,0
1757168811289.7676,-105,0
1757168811297.46,-98,0
1757168811305.1523,-98,0
1757168811312.8447,-103,0
1757168811320.537,-103,0
1757168811328.2295,-103,0
1757168811335.9219,-96,0
1757168811343.6143,-94,0
1757168811351.3066,-94,0
1757168811358.999,-94,0
1757168811366.6914,-94,0
1757168811374.3838,-98,0
1757168811382.0762,-94,0
1757168811389.7686,-87,0
1757168811397.461,-85,0
1757168811405.1533,-85,0
1757168811412.8457,-89,0
1757168811420.538,-89,0
1757168811428.2305,-80,0
1757168811435.9229,-64,0
1757168811443.6152,-50,0
1757168811451.3076,-48,0
1757168811459.0,-48,0
1757168811466.6924,-50,0
1757168811474.3848,-68,0
1757168811482.0771,-91,0
1757168811489.7695,-96,0
1757168811497.462,-87,0
1757168811505.1543,-85,0
1757168811512.8467,-85,0
1757168811520.539,-91,0
1757168811528.2314,-147,0
1757168811535.9238,-174,0
1757168811543.6162,73,0
1757168811551.3086,673,0
1757168811559.001,1321,0
1757168811566.6934,1535,0
1757168811574.3857,850,0
1757168811582.0781,-234,0
1757168811589.7705,-485,0
1757168811597.463,-124,0
1757168811605.1553,-135,0
1757168811612.8477,-285,0
1757168811620.54,-197,0
1757168811628.2324,-154,0
1757168811635.9248,-195,0
1757168811643.6172,-172,0
1757168811651.3096,-137,0
1757168811659.002,-137,0
1757168811666.6943,-124,0
1757168811787.808,-98,0
1757168811795.5005,-94,0
1757168811803.1929,-82,0
1757168811810.8853,-59,0
1757168811818.5776,-39,0
1757168811826.27,-20,0
1757168811833.9624,0,0
1757168811841.6548,9,0
1757168811849.3472,27,0
1757168811857.0396,59,0
1757168811864.732,89,0
1757168811872.4243,108,0
1757168811880.1167,114,0
1757168811887.809,114,0
1757168811895.5015,101,0
1757168811903.1938,80,0
1757168811910.8862,55,0
1757168811918.5786,25,0
1757168811926.271,-16,0
1757168811933.9634,-62,0
1757168811941.6558,-105,0
1757168811949.3481,-131,0
1757168811957.0405,-147,0
1757168811964.733,-156,0
1757168811972.4253,-165,0
1757168811980.1177,-170,0
1757168811987.81,-165,0
1757168811995.5024,-160,0
1757168812003.1948,-158,0
1757168812010.8872,-151,0
1757168812018.5796,-147,0
1757168812026.272,-144,0
1757168812033.9644,-137,0
1757168812041.6567,-131,0
1757168812049.349,-126,0
1757168812057.0415,-121,0
1757168812064.734,-117,0
1757168812072.4263,-112,0
1757168812080.1187,-108,0
1757168812087.811,-103,0
1757168812095.5034,-103,0
1757168812103.1958,-108,0
1757168812110.8882,-110,0
1757168812118.5806,-101,0
1757168812126.273,-91,0
1757168812133.9653,-91,0
1757168812141.6577,-91,0
1757168812149.35,-87,0
1757168812157.0425,-91,0
1757168812164.7349,-91,0
1757168812172.4272,-87,0
1757168812180.1196,-87,0
1757168812187.812,-87,0
1757168812195.5044,-85,0
1757168812203.1968,-85,0
1757168812210.8892,-85,0
1757168812218.5815,-82,0
1757168812226.274,-80,0
1757168812233.9663,-78,0
1757168812241.6587,-78,0
1757168812249.351,-78,0
1757168812257.0435,-73,0
1757168812264.7358,-71,0
1757168812272.4282,-73,0
1757168812280.1206,-71,0
1757168812287.813,-68,0
1757168812295.5054,-68,0
1757168812303.1978,-68,0
1757168812310.8901,-64,0
1757168812318.5825,-64,0
1757168812326.275,-62,0
