ecg,R
-9.0,0
-9.0,0
-16.0,0
-16.0,0
-11.0,0
-4.0,0
2.0,0
2.0,0
2.0,0
4.0,0
-2.0,0
-2.0,0
2.0,0
2.0,0
9.0,0
18.0,0
23.0,0
35.0,0
56.0,0
58.0,0
32.0,0
18.0,0
16.0,0
11.0,0
9.0,0
14.0,0
21.0,0
21.0,0
21.0,0
21.0,0
7.0,0
-32.0,0
61.0,0
516.0,0
1075.0,1
903.0,0
-86.0,0
-683.0,0
-396.0,0
-79.0,0
-63.0,0
-14.0,0
46.0,0
21.0,0
21.0,0
51.0,0
51.0,0
51.0,0
65.0,0
68.0,0
72.0,0
84.0,0
91.0,0
91.0,0
98.0,0
105.0,0
107.0,0
110.0,0
119.0,0
124.0,0
129.0,0
126.0,0
124.0,0
136.0,0
143.0,0
145.0,0
150.0,0
150.0,0
145.0,0
145.0,0
147.0,0
133.0,0
96.0,0
65.0,0
49.0,0
30.0,0
2.0,0
-18.0,0
-32.0,0
-42.0,0
-44.0,0
-30.0,0
-11.0,0
-9.0,0
-16.0,0
-16.0,0
-9.0,0
-4.0,0
-4.0,0
-4.0,0
-7.0,0
-9.0,0
-9.0,0
-7.0,0
-4.0,0
-4.0,0
-9.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-9.0,0
-9.0,0
-16.0,0
-21.0,0
-23.0,0
-16.0,0
-4.0,0
0.0,0
-2.0,0
9.0,0
28.0,0
25.0,0
9.0,0
-2.0,0
-11.0,0
-11.0,0
-11.0,0
-7.0,0
-2.0,0
-2.0,0
-2.0,0
-4.0,0
-44.0,0
-82.0,0
124.0,0
741.0,0
1225.0,1
730.0,0
-333.0,0
-636.0,0
-230.0,0
-51.0,0
-75.0,0
0.0,0
23.0,0
-14.0,0
4.0,0
30.0,0
21.0,0
25.0,0
39.0,0
44.0,0
51.0,0
58.0,0
63.0,0
68.0,0
72.0,0
79.0,0
84.0,0
91.0,0
91.0,0
98.0,0
112.0,0
124.0,0
126.0,0
129.0,0
131.0,0
133.0,0
136.0,0
138.0,0
138.0,0
131.0,0
119.0,0
98.0,0
70.0,0
42.0,0
14.0,0
-9.0,0
-32.0,0
-46.0,0
-51.0,0
-53.0,0
-53.0,0
-51.0,0
-49.0,0
-44.0,0
-42.0,0
-39.0,0
-35.0,0
-35.0,0
-37.0,0
-32.0,0
-30.0,0
-30.0,0
-28.0,0
-28.0,0
-28.0,0
-28.0,0
-25.0,0
-25.0,0
-25.0,0
-25.0,0
-25.0,0
-23.0,0
-21.0,0
-21.0,0
-18.0,0
-9.0,0
0.0,0
2.0,0
0.0,0
0.0,0
2.0,0
0.0,0
-4.0,0
-7.0,0
-2.0,0
2.0,0
9.0,0
11.0,0
14.0,0
35.0,0
53.0,0
39.0,0
18.0,0
11.0,0
7.0,0
7.0,0
9.0,0
9.0,0
11.0,0
16.0,0
25.0,0
25.0,0
-30.0,0
-44.0,0
284.0,0
993.0,0
1347.0,1
631.0,0
-363.0,0
-429.0,0
-39.0,0
-18.0,0
-63.0,0
21.0,0
16.0,0
-21.0,0
9.0,0
25.0,0
16.0,0
25.0,0
37.0,0
37.0,0
42.0,0
51.0,0
58.0,0
61.0,0
65.0,0
70.0,0
75.0,0
82.0,0
84.0,0
89.0,0
91.0,0
96.0,0
100.0,0
105.0,0
107.0,0
110.0,0
110.0,0
115.0,0
124.0,0
131.0,0
119.0,0
98.0,0
70.0,0
42.0,0
16.0,0
-4.0,0
-25.0,0
-39.0,0
-49.0,0
-53.0,0
-51.0,0
-46.0,0
-42.0,0
-42.0,0
-42.0,0
-39.0,0
-37.0,0
-32.0,0
-30.0,0
-30.0,0
-32.0,0
-30.0,0
-28.0,0
-23.0,0
-25.0,0
-28.0,0
-30.0,0
-30.0,0
-21.0,0
-7.0,0
-2.0,0
-7.0,0
-7.0,0
-7.0,0
-4.0,0
0.0,0
0.0,0
-4.0,0
-2.0,0
-4.0,0
-7.0,0
-7.0,0
-7.0,0
-2.0,0
7.0,0
9.0,0
11.0,0
32.0,0
49.0,0
37.0,0
16.0,0
4.0,0
2.0,0
2.0,0
2.0,0
2.0,0
2.0,0
7.0,0
14.0,0
9.0,0
-42.0,0
-68.0,0
199.0,0
