ecg,R
251.0,0
731.0,0
1548.0,0
1891.0,0
1806.0,0
1923.0,0
2074.0,0
2055.0,0
2074.0,0
2149.0,0
2172.0,0
2174.0,0
2197.0,0
2218.0,0
2231.0,0
2250.0,0
2247.0,0
2250.0,0
2284.0,0
2300.0,0
2266.0,0
2245.0,0
2245.0,0
2238.0,0
2234.0,0
2222.0,0
2183.0,0
2151.0,0
2154.0,0
2163.0,0
2158.0,0
2165.0,0
2186.0,0
2186.0,0
2161.0,0
2140.0,0
2135.0,0
2133.0,0
2124.0,0
2101.0,0
2078.0,0
2069.0,0
2062.0,0
2037.0,0
2016.0,0
2003.0,0
1989.0,0
1982.0,0
1973.0,0
1854.0,0
1479.0,0
974.0,0
750.0,0
1228.0,0
2103.0,0
2337.0,1
1925.0,0
1781.0,0
1850.0,0
1760.0,0
1699.0,0
1717.0,0
1680.0,0
1628.0,0
1607.0,0
1582.0,0
1545.0,0
1509.0,0
1484.0,0
1454.0,0
1410.0,0
1362.0,0
1321.0,0
1280.0,0
1225.0,0
1159.0,0
1088.0,0
1031.0,0
985.0,0
944.0,0
912.0,0
905.0,0
921.0,0
969.0,0
1047.0,0
1120.0,0
1189.0,0
1269.0,0
1328.0,0
1312.0,0
1278.0,0
1285.0,0
1287.0,0
1260.0,0
1234.0,0
1221.0,0
1209.0,0
1186.0,0
1154.0,0
1131.0,0
1115.0,0
1093.0,0
1074.0,0
1058.0,0
1040.0,0
1026.0,0
1008.0,0
990.0,0
976.0,0
962.0,0
951.0,0
937.0,0
914.0,0
900.0,0
896.0,0
882.0,0
862.0,0
848.0,0
839.0,0
825.0,0
809.0,0
788.0,0
772.0,0
761.0,0
745.0,0
699.0,0
656.0,0
649.0,0
660.0,0
660.0,0
663.0,0
670.0,0
665.0,0
656.0,0
649.0,0
640.0,0
628.0,0
617.0,0
610.0,0
601.0,0
589.0,0
580.0,0
571.0,0
560.0,0
551.0,0
544.0,0
541.0,0
551.0,0
482.0,0
162.0,0
-343.0,0
-647.0,0
-297.0,0
592.0,0
1008.0,1
654.0,0
443.0,0
530.0,0
459.0,0
379.0,0
416.0,0
407.0,0
359.0,0
356.0,0
354.0,0
329.0,0
306.0,0
292.0,0
272.0,0
244.0,0
219.0,0
194.0,0
160.0,0
118.0,0
70.0,0
20.0,0
-25.0,0
-64.0,0
-96.0,0
-114.0,0
-118.0,0
-96.0,0
-43.0,0
29.0,0
121.0,0
219.0,0
301.0,0
354.0,0
386.0,0
409.0,0
423.0,0
425.0,0
418.0,0
404.0,0
397.0,0
393.0,0
375.0,0
361.0,0
356.0,0
345.0,0
336.0,0
331.0,0
311.0,0
297.0,0
301.0,0
297.0,0
285.0,0
278.0,0
276.0,0
272.0,0
269.0,0
267.0,0
260.0,0
253.0,0
253.0,0
256.0,0
244.0,0
228.0,0
219.0,0
214.0,0
214.0,0
192.0,0
148.0,0
139.0,0
160.0,0
166.0,0
176.0,0
201.0,0
212.0,0
201.0,0
180.0,0
180.0,0
192.0,0
187.0,0
180.0,0
180.0,0
180.0,0
178.0,0
176.0,0
173.0,0
173.0,0
169.0,0
166.0,0
189.0,0
148.0,0
-157.0,0
-720.0,0
-1129.0,0
-802.0,0
256.0,0
862.0,1
468.0,0
144.0,0
246.0,0
201.0,0
96.0,0
134.0,0
144.0,0
98.0,0
93.0,0
96.0,0
75.0,0
57.0,0
43.0,0
25.0,0
2.0,0
-20.0,0
-48.0,0
-75.0,0
-114.0,0
-162.0,0
-208.0,0
-249.0,0
-292.0,0
-322.0,0
-333.0,0
-329.0,0
-304.0,0
-249.0,0
-162.0,0
-59.0,0
43.0,0
132.0,0
194.0,0
233.0,0
258.0,0
276.0,0
283.0,0
283.0,0
278.0,0
272.0,0
265.0,0
256.0,0
249.0,0
240.0,0
224.0,0
217.0,0
212.0,0
201.0,0
187.0,0
182.0,0
185.0,0
180.0,0
171.0,0
171.0,0
176.0,0
171.0,0
164.0,0
169.0,0
171.0,0
169.0,0
164.0,0
157.0,0
153.0,0
153.0,0
146.0,0
114.0,0
84.0,0
86.0,0
100.0,0
116.0,0
134.0,0
146.0,0
146.0,0
144.0,0
150.0,0
150.0,0
146.0,0
141.0,0
137.0,0
139.0,0
144.0,0
141.0,0
134.0,0
130.0,0
130.0,0
132.0,0
141.0,0
134.0,0
-48.0,0
-505.0,0
-978.0,0
-983.0,0
-224.0,0
603.0,1
544.0,0
134.0,0
144.0,0
196.0,0
96.0,0
91.0,0
123.0,0
84.0,0
59.0,0
66.0,0
52.0,0
32.0,0
25.0,0
11.0,0
-18.0,0
-41.0,0
-57.0,0
-84.0,0
-123.0,0
-162.0,0
-205.0,0
-253.0,0
-297.0,0
-327.0,0
-352.0,0
-375.0,0
-359.0,0
-288.0,0
-201.0,0
-109.0,0
-6.0,0
80.0,0
148.0,0
198.0,0
221.0,0
233.0,0
242.0,0
242.0,0
237.0,0
235.0,0
230.0,0
224.0,0
212.0,0
201.0,0
189.0,0
180.0,0
176.0,0
171.0,0
164.0,0
162.0,0
160.0,0
155.0,0
150.0,0
148.0,0
148.0,0
150.0,0
146.0,0
139.0,0
139.0,0
139.0,0
139.0,0
137.0,0
130.0,0
123.0,0
114.0,0
116.0,0
112.0,0
70.0,0
38.0,0
50.0,0
66.0,0
75.0,0
93.0,0
112.0,0
112.0,0
107.0,0
112.0,0
112.0,0
109.0,0
112.0,0
109.0,0
105.0,0
107.0,0
107.0,0
102.0,0
98.0,0
98.0,0
109.0,0
125.0,0
54.0,0
-256.0,0
-745.0,0
-1051.0,0
-711.0,0
203.0,0
651.0,1
290.0,0
66.0,0
176.0,0
134.0,0
57.0,0
64.0,0
41.0,0
48.0,0
70.0,0
-11.0,0
-45.0,0
59.0,0
73.0,0
-13.0,0
-32.0,0
-32.0,0
-82.0,0
-121.0,0
-141.0,0
-185.0,0
-235.0,0
-281.0,0
-322.0,0
-345.0,0
-349.0,0
-345.0,0
-327.0,0
-267.0,0
-171.0,0
-64.0,0
36.0,0
114.0,0
171.0,0
212.0,0
240.0,0
249.0,0
249.0,0
242.0,0
240.0,0
233.0,0
226.0,0
226.0,0
217.0,0
210.0,0
212.0,0
201.0,0
169.0,0
164.0,0
185.0,0
192.0,0
182.0,0
176.0,0
176.0,0
173.0,0
169.0,0
162.0,0
160.0,0
157.0,0
148.0,0
139.0,0
148.0,0
157.0,0
153.0,0
139.0,0
102.0,0
59.0,0
64.0,0
96.0,0
114.0,0
125.0,0
132.0,0
132.0,0
134.0,0
139.0,0
134.0,0
130.0,0
132.0,0
132.0,0
125.0,0
123.0,0
118.0,0
114.0,0
114.0,0
123.0,0
139.0,0
52.0,0
-297.0,0
-804.0,0
-1058.0,0
-580.0,0
345.0,0
622.0,1
228.0,0
107.0,0
208.0,0
139.0,0
86.0,0
123.0,0
105.0,0
66.0,0
66.0,0
59.0,0
34.0,0
29.0,0
22.0,0
2.0,0
-18.0,0
-43.0,0
-70.0,0
-100.0,0
-141.0,0
-180.0,0
-219.0,0
-265.0,0
-304.0,0
-322.0,0
-329.0,0
-320.0,0
-285.0,0
-219.0,0
-128.0,0
-25.0,0
70.0,0
146.0,0
196.0,0
233.0,0
249.0,0
251.0,0
256.0,0
258.0,0
249.0,0
237.0,0
233.0,0
224.0,0
212.0,0
203.0,0
194.0,0
185.0,0
178.0,0
173.0,0
171.0,0
166.0,0
162.0,0
157.0,0
155.0,0
150.0,0
144.0,0
132.0,0
134.0,0
144.0,0
121.0,0
73.0,0
59.0,0
77.0,0
96.0,0
114.0,0
128.0,0
130.0,0
130.0,0
130.0,0
132.0,0
137.0,0
139.0,0
130.0,0
130.0,0
132.0,0
125.0,0
116.0,0
116.0,0
116.0,0
121.0,0
141.0,0
107.0,0
-171.0,0
-690.0,0
-1063.0,0
-761.0,0
157.0,0
651.0,1
322.0,0
91.0,0
196.0,0
160.0,0
75.0,0
109.0,0
109.0,0
66.0,0
64.0,0
61.0,0
36.0,0
22.0,0
13.0,0
-2.0,0
-18.0,0
-43.0,0
-70.0,0
-102.0,0
-139.0,0
-178.0,0
-221.0,0
-269.0,0
-304.0,0
-317.0,0
-327.0,0
-327.0,0
-294.0,0
-233.0,0
-148.0,0
-45.0,0
45.0,0
118.0,0
178.0,0
214.0,0
230.0,0
242.0,0
251.0,0
246.0,0
240.0,0
240.0,0
233.0,0
217.0,0
208.0,0
203.0,0
196.0,0
189.0,0
182.0,0
169.0,0
166.0,0
171.0,0
169.0,0
157.0,0
153.0,0
155.0,0
150.0,0
141.0,0
134.0,0
144.0,0
144.0,0
109.0,0
75.0,0
73.0,0
98.0,0
118.0,0
128.0,0
134.0,0
141.0,0
144.0,0
144.0,0
144.0,0
137.0,0
134.0,0
139.0,0
139.0,0
132.0,0
130.0,0
132.0,0
123.0,0
123.0,0
139.0,0
155.0,0
70.0,0
-278.0,0
-827.0,0
-1122.0,0
-615.0,0
395.0,0
702.0,1
256.0,0
114.0,0
230.0,0
148.0,0
86.0,0
125.0,0
109.0,0
70.0,0
70.0,0
64.0,0
43.0,0
32.0,0
20.0,0
4.0,0
-20.0,0
-45.0,0
-70.0,0
-102.0,0
-144.0,0
-185.0,0
-233.0,0
-283.0,0
-317.0,0
-331.0,0
-340.0,0
-338.0,0
-301.0,0
-228.0,0
-137.0,0
-38.0,0
59.0,0
137.0,0
194.0,0
228.0,0
242.0,0
253.0,0
258.0,0
253.0,0
244.0,0
235.0,0
224.0,0
217.0,0
210.0,0
203.0,0
194.0,0
182.0,0
178.0,0
171.0,0
162.0,0
157.0,0
157.0,0
148.0,0
137.0,0
132.0,0
134.0,0
125.0,0
91.0,0
64.0,0
70.0,0
93.0,0
112.0,0
128.0,0
139.0,0
144.0,0
141.0,0
139.0,0
141.0,0
144.0,0
139.0,0
132.0,0
137.0,0
139.0,0
134.0,0
130.0,0
130.0,0
125.0,0
125.0,0
137.0,0
150.0,0
59.0,0
-329.0,0
-919.0,0
-1186.0,0
-585.0,0
448.0,0
683.0,1
226.0,0
130.0,0
244.0,0
144.0,0
89.0,0
137.0,0
116.0,0
77.0,0
84.0,0
80.0,0
52.0,0
41.0,0
32.0,0
4.0,0
-20.0,0
-38.0,0
-68.0,0
-107.0,0
-144.0,0
-180.0,0
-224.0,0
-267.0,0
-301.0,0
-317.0,0
-322.0,0
-313.0,0
-269.0,0
-189.0,0
-91.0,0
9.0,0
100.0,0
166.0,0
212.0,0
244.0,0
260.0,0
267.0,0
267.0,0
262.0,0
253.0,0
244.0,0
235.0,0
226.0,0
212.0,0
205.0,0
205.0,0
198.0,0
187.0,0
182.0,0
178.0,0
171.0,0
171.0,0
171.0,0
166.0,0
162.0,0
155.0,0
146.0,0
146.0,0
155.0,0
130.0,0
86.0,0
75.0,0
93.0,0
114.0,0
132.0,0
144.0,0
146.0,0
146.0,0
146.0,0
146.0,0
144.0,0
144.0,0
144.0,0
139.0,0
134.0,0
137.0,0
134.0,0
128.0,0
123.0,0
123.0,0
134.0,0
153.0,0
61.0,0
-292.0,0
-800.0,0
-1061.0,0
-610.0,0
317.0,0
628.0,1
235.0,0
107.0,0
224.0,0
150.0,0
91.0,0
132.0,0
116.0,0
77.0,0
80.0,0
75.0,0
54.0,0
45.0,0
32.0,0
6.0,0
-13.0,0
-32.0,0
-61.0,0
-100.0,0
-134.0,0
-171.0,0
-221.0,0
-265.0,0
-292.0,0
-313.0,0
-322.0,0
-313.0,0
-276.0,0
-208.0,0
-116.0,0
-16.0,0
75.0,0
148.0,0
196.0,0
230.0,0
249.0,0
253.0,0
253.0,0
258.0,0
251.0,0
237.0,0
230.0,0
221.0,0
214.0,0
210.0,0
196.0,0
189.0,0
189.0,0
182.0,0
173.0,0
173.0,0
171.0,0
166.0,0
162.0,0
164.0,0
164.0,0
155.0,0
150.0,0
146.0,0
141.0,0
139.0,0
114.0,0
75.0,0
66.0,0
84.0,0
100.0,0
116.0,0
134.0,0
141.0,0
137.0,0
134.0,0
137.0,0
137.0,0
134.0,0
130.0,0
130.0,0
128.0,0
118.0,0
116.0,0
118.0,0
116.0,0
112.0,0
109.0,0
121.0,0
130.0,0
0.0,0
-402.0,0
-900.0,0
-1031.0,0
-409.0,0
468.0,0
564.0,1
157.0,0
118.0,0
201.0,0
107.0,0
82.0,0
118.0,0
86.0,0
59.0,0
64.0,0
50.0,0
32.0,0
22.0,0
6.0,0
-16.0,0
-32.0,0
-52.0,0
-86.0,0
-121.0,0
-153.0,0
-196.0,0
-244.0,0
-283.0,0
-306.0,0
-324.0,0
-329.0,0
-315.0,0
-281.0,0
-212.0,0
-116.0,0
-22.0,0
61.0,0
137.0,0
187.0,0
214.0,0
228.0,0
235.0,0
240.0,0
237.0,0
228.0,0
221.0,0
214.0,0
203.0,0
189.0,0
182.0,0
173.0,0
166.0,0
162.0,0
160.0,0
160.0,0
150.0,0
141.0,0
144.0,0
141.0,0
132.0,0
134.0,0
134.0,0
128.0,0
123.0,0
114.0,0
112.0,0
116.0,0
102.0,0
59.0,0
29.0,0
36.0,0
57.0,0
77.0,0
93.0,0
100.0,0
100.0,0
102.0,0
102.0,0
102.0,0
100.0,0
100.0,0
98.0,0
91.0,0
89.0,0
89.0,0
84.0,0
82.0,0
84.0,0
80.0,0
77.0,0
89.0,0
102.0,0
-11.0,0
-420.0,0
-976.0,0
-1166.0,0
-523.0,0
464.0,0
624.0,1
164.0,0
