ecg,R
-28.0,0
-23.0,0
-21.0,0
-21.0,0
-21.0,0
-21.0,0
-18.0,0
-21.0,0
-21.0,0
-18.0,0
-11.0,0
-11.0,0
-14.0,0
-14.0,0
-4.0,0
7.0,0
14.0,0
9.0,0
4.0,0
2.0,0
4.0,0
9.0,0
14.0,0
21.0,0
25.0,0
37.0,0
56.0,0
53.0,0
35.0,0
32.0,0
37.0,0
35.0,0
35.0,0
39.0,0
39.0,0
37.0,0
39.0,0
39.0,0
9.0,0
-51.0,0
44.0,0
569.0,0
1200.0,1
1034.0,0
49.0,0
-462.0,0
-137.0,0
58.0,0
-49.0,0
-18.0,0
32.0,0
-9.0,0
-11.0,0
18.0,0
11.0,0
9.0,0
23.0,0
32.0,0
35.0,0
39.0,0
42.0,0
44.0,0
53.0,0
58.0,0
60.0,0
63.0,0
65.0,0
67.0,0
74.0,0
77.0,0
77.0,0
79.0,0
84.0,0
88.0,0
91.0,0
91.0,0
93.0,0
93.0,0
93.0,0
88.0,0
74.0,0
51.0,0
25.0,0
4.0,0
-18.0,0
-35.0,0
-44.0,0
-49.0,0
-51.0,0
-51.0,0
-46.0,0
-35.0,0
-25.0,0
-21.0,0
-21.0,0
-14.0,0
-4.0,0
2.0,0
2.0,0
4.0,0
4.0,0
2.0,0
2.0,0
4.0,0
7.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
9.0,0
7.0,0
7.0,0
4.0,0
4.0,0
7.0,0
9.0,0
9.0,0
11.0,0
9.0,0
9.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
14.0,0
21.0,0
35.0,0
53.0,0
49.0,0
30.0,0
25.0,0
25.0,0
18.0,0
18.0,0
23.0,0
21.0,0
21.0,0
25.0,0
28.0,0
2.0,0
-65.0,0
-16.0,0
462.0,0
1179.0,0
1212.0,1
287.0,0
-392.0,0
-163.0,0
74.0,0
-39.0,0
-51.0,0
11.0,0
-21.0,0
-35.0,0
2.0,0
9.0,0
2.0,0
14.0,0
23.0,0
25.0,0
42.0,0
56.0,0
58.0,0
60.0,0
65.0,0
72.0,0
74.0,0
77.0,0
79.0,0
81.0,0
86.0,0
86.0,0
88.0,0
91.0,0
91.0,0
93.0,0
95.0,0
98.0,0
100.0,0
100.0,0
95.0,0
84.0,0
60.0,0
39.0,0
18.0,0
-2.0,0
-23.0,0
-35.0,0
-42.0,0
-46.0,0
-46.0,0
-44.0,0
-44.0,0
-42.0,0
-37.0,0
-32.0,0
-30.0,0
-30.0,0
-30.0,0
-28.0,0
-25.0,0
-25.0,0
-25.0,0
-25.0,0
-23.0,0
-23.0,0
-21.0,0
-18.0,0
-18.0,0
-21.0,0
-21.0,0
-18.0,0
-16.0,0
-14.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-7.0,0
-2.0,0
4.0,0
11.0,0
11.0,0
14.0,0
25.0,0
37.0,0
35.0,0
28.0,0
25.0,0
25.0,0
28.0,0
28.0,0
32.0,0
39.0,0
46.0,0
63.0,0
70.0,0
53.0,0
39.0,0
37.0,0
30.0,0
28.0,0
32.0,0
35.0,0
28.0,0
28.0,0
32.0,0
25.0,0
-30.0,0
-63.0,0
226.0,0
915.0,0
1305.0,1
674.0,0
-259.0,0
-324.0,0
30.0,0
11.0,0
-70.0,0
2.0,0
2.0,0
-35.0,0
-11.0,0
2.0,0
-7.0,0
2.0,0
16.0,0
16.0,0
18.0,0
25.0,0
28.0,0
35.0,0
42.0,0
42.0,0
42.0,0
46.0,0
51.0,0
56.0,0
60.0,0
63.0,0
65.0,0
67.0,0
70.0,0
72.0,0
79.0,0
88.0,0
98.0,0
100.0,0
98.0,0
91.0,0
77.0,0
49.0,0
25.0,0
2.0,0
-16.0,0
-30.0,0
-37.0,0
-44.0,0
-49.0,0
-46.0,0
-35.0,0
-21.0,0
-16.0,0
-18.0,0
-18.0,0
-16.0,0
-14.0,0
-9.0,0
-7.0,0
-11.0,0
-14.0,0
-14.0,0
-14.0,0
-11.0,0
-11.0,0
-14.0,0
-16.0,0
-14.0,0
-11.0,0
-9.0,0
-9.0,0
-9.0,0
-7.0,0
-7.0,0
-7.0,0
-4.0,0
-2.0,0
-4.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
0.0,0
-2.0,0
0.0,0
0.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
-2.0,0
4.0,0
11.0,0
23.0,0
42.0,0
42.0,0
25.0,0
21.0,0
23.0,0
16.0,0
14.0,0
23.0,0
32.0,0
35.0,0
35.0,0
35.0,0
25.0,0
-25.0,0
-44.0,0
266.0,0
927.0,0
1209.0,1
509.0,0
-348.0,0
-319.0,0
30.0,0
9.0,0
-44.0,0
21.0,0
9.0,0
-14.0,0
23.0,0
39.0,0
30.0,0
37.0,0
46.0,0
51.0,0
58.0,0
63.0,0
60.0,0
60.0,0
65.0,0
70.0,0
72.0,0
72.0,0
79.0,0
84.0,0
81.0,0
88.0,0
98.0,0
98.0,0
98.0,0
100.0,0
105.0,0
107.0,0
109.0,0
109.0,0
105.0,0
88.0,0
70.0,0
46.0,0
16.0,0
-14.0,0
-32.0,0
-44.0,0
-58.0,0
-63.0,0
-60.0,0
-63.0,0
-63.0,0
-56.0,0
-53.0,0
-58.0,0
-56.0,0
-53.0,0
-46.0,0
-32.0,0
-23.0,0
-25.0,0
-28.0,0
-28.0,0
-25.0,0
-23.0,0
-18.0,0
-14.0,0
-16.0,0
-23.0,0
-25.0,0
-16.0,0
-9.0,0
-9.0,0
-16.0,0
-21.0,0
-18.0,0
-16.0,0
-11.0,0
-9.0,0
-16.0,0
-21.0,0
-14.0,0
-9.0,0
-16.0,0
-16.0,0
-11.0,0
-14.0,0
-11.0,0
7.0,0
18.0,0
30.0,0
46.0,0
39.0,0
23.0,0
23.0,0
21.0,0
11.0,0
9.0,0
18.0,0
16.0,0
14.0,0
18.0,0
21.0,0
-2.0,0
-44.0,0
35.0,0
462.0,0
994.0,1
826.0,0
-102.0,0
-609.0,0
-268.0,0
7.0,0
-39.0,0
-2.0,0
51.0,0
9.0,0
7.0,0
42.0,0
42.0,0
32.0,0
42.0,0
49.0,0
56.0,0
67.0,0
77.0,0
77.0,0
77.0,0
81.0,0
86.0,0
93.0,0
95.0,0
93.0,0
93.0,0
98.0,0
105.0,0
109.0,0
114.0,0
114.0,0
116.0,0
121.0,0
126.0,0
128.0,0
126.0,0
112.0,0
88.0,0
60.0,0
35.0,0
7.0,0
-21.0,0
-46.0,0
-65.0,0
-72.0,0
-72.0,0
-70.0,0
-72.0,0
-72.0,0
-70.0,0
-67.0,0
-60.0,0
-53.0,0
-53.0,0
-53.0,0
-51.0,0
-42.0,0
-28.0,0
-16.0,0
-21.0,0
-23.0,0
-18.0,0
-16.0,0
-11.0,0
-9.0,0
-11.0,0
-16.0,0
-14.0,0
-11.0,0
-7.0,0
-7.0,0
-7.0,0
-9.0,0
-9.0,0
-7.0,0
-2.0,0
2.0,0
0.0,0
-4.0,0
-7.0,0
-9.0,0
-4.0,0
7.0,0
18.0,0
25.0,0
30.0,0
51.0,0
65.0,0
53.0,0
39.0,0
35.0,0
30.0,0
28.0,0
32.0,0
32.0,0
28.0,0
28.0,0
32.0,0
28.0,0
-21.0,0
-77.0,0
147.0,0
831.0,0
1368.0,1
885.0,0
-126.0,0
-352.0,0
7.0,0
37.0,0
-70.0,0
-9.0,0
7.0,0
-37.0,0
-21.0,0
0.0,0
-7.0,0
-2.0,0
11.0,0
14.0,0
16.0,0
25.0,0
32.0,0
37.0,0
42.0,0
46.0,0
51.0,0
58.0,0
72.0,0
84.0,0
84.0,0
86.0,0
93.0,0
95.0,0
98.0,0
100.0,0
102.0,0
107.0,0
107.0,0
107.0,0
105.0,0
95.0,0
79.0,0
53.0,0
30.0,0
9.0,0
-9.0,0
-25.0,0
-28.0,0
-25.0,0
-25.0,0
-25.0,0
-21.0,0
-18.0,0
-18.0,0
-16.0,0
-16.0,0
-16.0,0
-14.0,0
-11.0,0
-11.0,0
-9.0,0
-11.0,0
-9.0,0
-7.0,0
-9.0,0
-7.0,0
-7.0,0
-7.0,0
-7.0,0
-7.0,0
-7.0,0
-7.0,0
-4.0,0
-4.0,0
-2.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
0.0,0
2.0,0
2.0,0
0.0,0
-4.0,0
-7.0,0
-4.0,0
-2.0,0
0.0,0
4.0,0
14.0,0
28.0,0
46.0,0
42.0,0
23.0,0
18.0,0
16.0,0
14.0,0
21.0,0
35.0,0
32.0,0
30.0,0
37.0,0
39.0,0
14.0,0
-56.0,0
-14.0,0
453.0,0
1160.0,0
1202.0,1
284.0,0
-394.0,0
-170.0,0
81.0,0
-18.0,0
-25.0,0
37.0,0
0.0,0
-14.0,0
16.0,0
16.0,0
11.0,0
25.0,0
30.0,0
28.0,0
35.0,0
42.0,0
46.0,0
51.0,0
56.0,0
58.0,0
58.0,0
63.0,0
70.0,0
70.0,0
72.0,0
72.0,0
77.0,0
79.0,0
84.0,0
86.0,0
88.0,0
91.0,0
93.0,0
95.0,0
93.0,0
79.0,0
56.0,0
28.0,0
4.0,0
-14.0,0
-32.0,0
-46.0,0
-53.0,0
-58.0,0
-58.0,0
-53.0,0
-49.0,0
-46.0,0
-46.0,0
-49.0,0
-46.0,0
-42.0,0
-37.0,0
-37.0,0
-37.0,0
-37.0,0
-35.0,0
-25.0,0
-9.0,0
-4.0,0
-9.0,0
-9.0,0
-9.0,0
-7.0,0
-4.0,0
-4.0,0
-7.0,0
-7.0,0
-2.0,0
9.0,0
14.0,0
11.0,0
9.0,0
11.0,0
11.0,0
14.0,0
16.0,0
14.0,0
9.0,0
7.0,0
4.0,0
4.0,0
7.0,0
4.0,0
7.0,0
16.0,0
25.0,0
42.0,0
56.0,0
42.0,0
25.0,0
21.0,0
21.0,0
16.0,0
16.0,0
16.0,0
14.0,0
14.0,0
21.0,0
21.0,0
-16.0,0
-79.0,0
74.0,0
667.0,0
1258.0,1
950.0,0
-46.0,0
-415.0,0
-67.0,0
44.0,0
-70.0,0
-28.0,0
7.0,0
-37.0,0
-30.0,0
-7.0,0
-9.0,0
-7.0,0
4.0,0
7.0,0
9.0,0
18.0,0
23.0,0
30.0,0
32.0,0
35.0,0
37.0,0
42.0,0
49.0,0
53.0,0
53.0,0
53.0,0
56.0,0
63.0,0
72.0,0
79.0,0
81.0,0
81.0,0
88.0,0
102.0,0
109.0,0
102.0,0
86.0,0
60.0,0
35.0,0
14.0,0
-2.0,0
-18.0,0
-37.0,0
-46.0,0
-46.0,0
-42.0,0
-42.0,0
-42.0,0
-42.0,0
-39.0,0
-39.0,0
-39.0,0
-39.0,0
-39.0,0
-42.0,0
-44.0,0
-39.0,0
-32.0,0
-30.0,0
-30.0,0
-32.0,0
-35.0,0
-35.0,0
-30.0,0
-32.0,0
-32.0,0
-30.0,0
-25.0,0
-25.0,0
-30.0,0
-28.0,0
-23.0,0
-21.0,0
-18.0,0
-16.0,0
-16.0,0
-21.0,0
-18.0,0
-16.0,0
-18.0,0
-23.0,0
-21.0,0
-21.0,0
-16.0,0
-9.0,0
0.0,0
11.0,0
30.0,0
28.0,0
7.0,0
4.0,0
7.0,0
-4.0,0
-7.0,0
9.0,0
18.0,0
18.0,0
21.0,0
30.0,0
16.0,0
-39.0,0
-44.0,0
275.0,0
908.0,0
1118.0,1
373.0,0
-432.0,0
-331.0,0
30.0,0
11.0,0
-25.0,0
42.0,0
21.0,0
-2.0,0
28.0,0
35.0,0
21.0,0
30.0,0
42.0,0
46.0,0
49.0,0
53.0,0
56.0,0
56.0,0
58.0,0
63.0,0
67.0,0
70.0,0
77.0,0
81.0,0
81.0,0
88.0,0
98.0,0
95.0,0
95.0,0
98.0,0
100.0,0
105.0,0
112.0,0
114.0,0
109.0,0
91.0,0
60.0,0
30.0,0
9.0,0
-11.0,0
-42.0,0
-63.0,0
-70.0,0
-72.0,0
-70.0,0
-67.0,0
-70.0,0
-67.0,0
-63.0,0
-58.0,0
-53.0,0
-51.0,0
-49.0,0
-44.0,0
-39.0,0
-35.0,0
-23.0,0
-16.0,0
-25.0,0
-28.0,0
-21.0,0
-14.0,0
-16.0,0
-18.0,0
-18.0,0
-21.0,0
-25.0,0
-16.0,0
0.0,0
2.0,0
0.0,0
7.0,0
9.0,0
7.0,0
9.0,0
7.0,0
-4.0,0
-4.0,0
-4.0,0
-7.0,0
4.0,0
16.0,0
21.0,0
35.0,0
44.0,0
32.0,0
18.0,0
18.0,0
11.0,0
4.0,0
0.0,0
2.0,0
11.0,0
23.0,0
23.0,0
9.0,0
-25.0,0
-49.0,0
168.0,0
733.0,0
1072.0,1
481.0,0
-443.0,0
-523.0,0
-86.0,0
-2.0,0
-53.0,0
25.0,0
37.0,0
2.0,0
25.0,0
42.0,0
28.0,0
32.0,0
46.0,0
51.0,0
53.0,0
60.0,0
65.0,0
74.0,0
88.0,0
98.0,0
100.0,0
98.0,0
98.0,0
100.0,0
105.0,0
112.0,0
114.0,0
112.0,0
116.0,0
119.0,0
121.0,0
126.0,0
130.0,0
126.0,0
114.0,0
100.0,0
77.0,0
49.0,0
21.0,0
-9.0,0
-35.0,0
-46.0,0
-44.0,0
-42.0,0
-46.0,0
-49.0,0
-44.0,0
-42.0,0
-39.0,0
-37.0,0
-35.0,0
-32.0,0
-32.0,0
-32.0,0
-28.0,0
-23.0,0
-21.0,0
-21.0,0
-23.0,0
-21.0,0
-18.0,0
-16.0,0
-16.0,0
-18.0,0
-18.0,0
-18.0,0
-16.0,0
-14.0,0
-14.0,0
-14.0,0
-14.0,0
-9.0,0
-7.0,0
-7.0,0
-7.0,0
-11.0,0
-16.0,0
-11.0,0
-9.0,0
-7.0,0
-2.0,0
4.0,0
14.0,0
39.0,0
53.0,0
39.0,0
28.0,0
28.0,0
25.0,0
21.0,0
23.0,0
25.0,0
28.0,0
28.0,0
28.0,0
21.0,0
-39.0,0
-77.0,0
235.0,0
976.0,0
