ecg,R
-119.0,0
-112.0,0
-2.0,0
-2.0,0
-30.0,0
-11.0,0
-4.0,0
14.0,0
49.0,0
37.0,0
-11.0,0
-39.0,0
-39.0,0
-14.0,0
30.0,0
112.0,0
223.0,0
201.0,0
93.0,0
103.0,0
152.0,0
131.0,0
143.0,0
187.0,0
105.0,0
18.0,0
72.0,0
46.0,0
-39.0,0
23.0,0
61.0,0
-35.0,0
-61.0,0
-21.0,0
-58.0,0
-100.0,0
-61.0,0
-14.0,0
-16.0,0
-58.0,0
-115.0,0
-131.0,0
-18.0,0
131.0,0
124.0,0
18.0,0
-18.0,0
0.0,0
11.0,0
84.0,0
164.0,0
82.0,0
-37.0,0
-32.0,0
-28.0,0
-53.0,0
-25.0,0
32.0,0
68.0,0
91.0,0
68.0,0
-37.0,0
-75.0,0
-93.0,0
-176.0,0
-23.0,0
476.0,0
920.0,1
699.0,0
-84.0,0
-457.0,0
-213.0,0
-18.0,0
4.0,0
37.0,0
37.0,0
-16.0,0
-14.0,0
56.0,0
89.0,0
35.0,0
-58.0,0
-77.0,0
53.0,0
157.0,0
44.0,0
-35.0,0
79.0,0
119.0,0
63.0,0
84.0,0
112.0,0
131.0,0
164.0,0
161.0,0
136.0,0
86.0,0
32.0,0
70.0,0
140.0,0
112.0,0
115.0,0
159.0,0
103.0,0
11.0,0
2.0,0
86.0,0
133.0,0
21.0,0
-98.0,0
-58.0,0
-4.0,0
-82.0,0
-105.0,0
-11.0,0
30.0,0
-35.0,0
-82.0,0
0.0,0
79.0,0
28.0,0
2.0,0
28.0,0
-9.0,0
-56.0,0
-96.0,0
-110.0,0
-28.0,0
79.0,0
103.0,0
37.0,0
4.0,0
56.0,0
103.0,0
129.0,0
51.0,0
-122.0,0
-115.0,0
-32.0,0
-84.0,0
53.0,0
554.0,0
901.0,1
518.0,0
-260.0,0
-507.0,0
-211.0,0
-51.0,0
-105.0,0
-100.0,0
-28.0,0
-18.0,0
-39.0,0
-42.0,0
-91.0,0
-72.0,0
49.0,0
7.0,0
-112.0,0
-18.0,0
129.0,0
161.0,0
192.0,0
215.0,0
183.0,0
150.0,0
89.0,0
14.0,0
28.0,0
105.0,0
138.0,0
100.0,0
89.0,0
126.0,0
115.0,0
110.0,0
122.0,0
58.0,0
37.0,0
63.0,0
-18.0,0
-117.0,0
-107.0,0
-53.0,0
-18.0,0
-18.0,0
-39.0,0
14.0,0
89.0,0
53.0,0
23.0,0
75.0,0
82.0,0
84.0,0
58.0,0
-72.0,0
-119.0,0
-28.0,0
4.0,0
-23.0,0
35.0,0
98.0,0
63.0,0
61.0,0
28.0,0
-75.0,0
-53.0,0
37.0,0
30.0,0
-21.0,0
-30.0,0
-18.0,0
-44.0,0
-126.0,0
32.0,0
624.0,0
997.0,1
460.0,0
-370.0,0
-495.0,0
-171.0,0
-18.0,0
37.0,0
65.0,0
2.0,0
-28.0,0
-23.0,0
-49.0,0
-39.0,0
21.0,0
37.0,0
-14.0,0
-7.0,0
72.0,0
100.0,0
79.0,0
56.0,0
28.0,0
44.0,0
93.0,0
117.0,0
112.0,0
105.0,0
105.0,0
115.0,0
126.0,0
140.0,0
126.0,0
75.0,0
56.0,0
103.0,0
129.0,0
84.0,0
30.0,0
-9.0,0
-30.0,0
-11.0,0
-11.0,0
-72.0,0
-86.0,0
-39.0,0
-28.0,0
-35.0,0
4.0,0
39.0,0
39.0,0
37.0,0
32.0,0
-2.0,0
-16.0,0
21.0,0
9.0,0
-32.0,0
4.0,0
56.0,0
39.0,0
16.0,0
16.0,0
7.0,0
21.0,0
42.0,0
2.0,0
-14.0,0
37.0,0
42.0,0
-28.0,0
-96.0,0
-98.0,0
138.0,0
694.0,0
1065.0,1
589.0,0
-251.0,0
-399.0,0
-96.0,0
-65.0,0
-105.0,0
-14.0,0
0.0,0
-39.0,0
-7.0,0
28.0,0
2.0,0
-18.0,0
2.0,0
30.0,0
37.0,0
44.0,0
46.0,0
53.0,0
68.0,0
63.0,0
61.0,0
72.0,0
115.0,0
161.0,0
138.0,0
91.0,0
93.0,0
107.0,0
117.0,0
126.0,0
112.0,0
98.0,0
86.0,0
61.0,0
30.0,0
7.0,0
-2.0,0
-2.0,0
-23.0,0
-46.0,0
-23.0,0
-7.0,0
-28.0,0
-4.0,0
11.0,0
-11.0,0
28.0,0
68.0,0
4.0,0
-51.0,0
-16.0,0
11.0,0
-16.0,0
-9.0,0
37.0,0
39.0,0
2.0,0
-9.0,0
16.0,0
42.0,0
21.0,0
-7.0,0
23.0,0
44.0,0
11.0,0
-23.0,0
-30.0,0
-30.0,0
-28.0,0
-16.0,0
2.0,0
2.0,0
0.0,0
-16.0,0
-79.0,0
-46.0,0
333.0,0
896.0,1
894.0,0
103.0,0
-422.0,0
-204.0,0
-49.0,0
-143.0,0
-86.0,0
0.0,0
-25.0,0
-42.0,0
-7.0,0
23.0,0
32.0,0
32.0,0
18.0,0
11.0,0
28.0,0
28.0,0
9.0,0
30.0,0
65.0,0
51.0,0
35.0,0
63.0,0
86.0,0
91.0,0
103.0,0
84.0,0
68.0,0
107.0,0
136.0,0
124.0,0
122.0,0
112.0,0
84.0,0
58.0,0
35.0,0
14.0,0
-9.0,0
-7.0,0
11.0,0
-7.0,0
-30.0,0
-28.0,0
-35.0,0
-44.0,0
-7.0,0
46.0,0
39.0,0
11.0,0
37.0,0
44.0,0
2.0,0
-21.0,0
-7.0,0
11.0,0
18.0,0
11.0,0
7.0,0
18.0,0
9.0,0
-28.0,0
-39.0,0
-25.0,0
-18.0,0
-23.0,0
-21.0,0
-14.0,0
-16.0,0
-9.0,0
2.0,0
18.0,0
42.0,0
39.0,0
25.0,0
35.0,0
32.0,0
11.0,0
-11.0,0
-2.0,0
46.0,0
53.0,0
18.0,0
30.0,0
32.0,0
-4.0,0
-16.0,0
-4.0,0
93.0,0
495.0,0
950.0,1
718.0,0
-103.0,0
-446.0,0
-185.0,0
-65.0,0
-86.0,0
-4.0,0
16.0,0
-37.0,0
-23.0,0
28.0,0
30.0,0
2.0,0
4.0,0
32.0,0
39.0,0
42.0,0
39.0,0
16.0,0
21.0,0
61.0,0
89.0,0
86.0,0
70.0,0
77.0,0
112.0,0
122.0,0
107.0,0
107.0,0
91.0,0
63.0,0
77.0,0
100.0,0
89.0,0
79.0,0
93.0,0
86.0,0
44.0,0
4.0,0
-11.0,0
-18.0,0
-32.0,0
-46.0,0
-35.0,0
0.0,0
18.0,0
14.0,0
0.0,0
-2.0,0
23.0,0
28.0,0
2.0,0
-11.0,0
-9.0,0
7.0,0
21.0,0
4.0,0
7.0,0
16.0,0
-4.0,0
-30.0,0
-16.0,0
0.0,0
-14.0,0
-25.0,0
-14.0,0
2.0,0
9.0,0
0.0,0
-7.0,0
7.0,0
14.0,0
4.0,0
-7.0,0
-25.0,0
-2.0,0
46.0,0
46.0,0
32.0,0
35.0,0
30.0,0
14.0,0
2.0,0
4.0,0
14.0,0
16.0,0
21.0,0
23.0,0
21.0,0
4.0,0
-49.0,0
-65.0,0
190.0,0
755.0,0
1014.0,1
415.0,0
-396.0,0
-504.0,0
-204.0,0
-103.0,0
-84.0,0
-2.0,0
4.0,0
-21.0,0
14.0,0
44.0,0
32.0,0
42.0,0
61.0,0
21.0,0
-2.0,0
42.0,0
72.0,0
61.0,0
61.0,0
79.0,0
89.0,0
115.0,0
147.0,0
107.0,0
28.0,0
44.0,0
96.0,0
79.0,0
58.0,0
77.0,0
98.0,0
112.0,0
110.0,0
75.0,0
61.0,0
72.0,0
49.0,0
14.0,0
16.0,0
21.0,0
14.0,0
0.0,0
-28.0,0
-25.0,0
25.0,0
53.0,0
46.0,0
49.0,0
46.0,0
32.0,0
30.0,0
28.0,0
23.0,0
14.0,0
2.0,0
9.0,0
32.0,0
18.0,0
-18.0,0
-14.0,0
11.0,0
-2.0,0
-16.0,0
-4.0,0
11.0,0
7.0,0
-30.0,0
-42.0,0
4.0,0
32.0,0
28.0,0
32.0,0
42.0,0
28.0,0
4.0,0
0.0,0
7.0,0
7.0,0
14.0,0
25.0,0
21.0,0
-7.0,0
-51.0,0
-89.0,0
65.0,0
584.0,0
1068.0,1
746.0,0
-169.0,0
-547.0,0
-253.0,0
-93.0,0
-124.0,0
-35.0,0
25.0,0
-16.0,0
-14.0,0
11.0,0
2.0,0
-2.0,0
4.0,0
14.0,0
25.0,0
51.0,0
70.0,0
58.0,0
46.0,0
58.0,0
79.0,0
112.0,0
133.0,0
124.0,0
119.0,0
129.0,0
129.0,0
112.0,0
112.0,0
119.0,0
105.0,0
100.0,0
110.0,0
93.0,0
68.0,0
39.0,0
2.0,0
-28.0,0
-35.0,0
-23.0,0
-9.0,0
-14.0,0
-21.0,0
-16.0,0
-11.0,0
-16.0,0
-14.0,0
16.0,0
32.0,0
14.0,0
0.0,0
16.0,0
28.0,0
14.0,0
-9.0,0
-18.0,0
-9.0,0
2.0,0
-4.0,0
-23.0,0
-25.0,0
-11.0,0
9.0,0
9.0,0
-18.0,0
-23.0,0
-2.0,0
0.0,0
-16.0,0
-42.0,0
-42.0,0
-7.0,0
18.0,0
25.0,0
23.0,0
7.0,0
9.0,0
23.0,0
9.0,0
-2.0,0
14.0,0
28.0,0
18.0,0
16.0,0
25.0,0
0.0,0
-68.0,0
-21.0,0
366.0,0
927.0,0
971.0,1
213.0,0
-446.0,0
-326.0,0
-61.0,0
-70.0,0
-39.0,0
18.0,0
-28.0,0
-37.0,0
16.0,0
35.0,0
16.0,0
11.0,0
28.0,0
39.0,0
37.0,0
39.0,0
56.0,0
70.0,0
79.0,0
79.0,0
72.0,0
79.0,0
105.0,0
110.0,0
93.0,0
100.0,0
115.0,0
96.0,0
79.0,0
91.0,0
100.0,0
103.0,0
98.0,0
77.0,0
46.0,0
25.0,0
2.0,0
-7.0,0
2.0,0
-14.0,0
-58.0,0
-56.0,0
-25.0,0
-16.0,0
-21.0,0
-11.0,0
18.0,0
32.0,0
23.0,0
18.0,0
7.0,0
2.0,0
16.0,0
21.0,0
