ecg,R
7721.0,0
18597.0,1
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18597.0,0
18370.0,0
18288.0,0
18438.0,0
18597.0,0
18597.0,0
17921.0,0
17816.0,0
18252.0,0
17823.0,0
17303.0,0
17326.0,0
17387.0,0
17249.0,0
17196.0,0
17117.0,0
16883.0,0
16865.0,0
16858.0,0
16649.0,0
16583.0,0
16572.0,0
16504.0,0
16361.0,0
16159.0,0
16118.0,0
16131.0,0
16100.0,0
15929.0,0
15700.0,0
15705.0,0
15714.0,0
15625.0,0
15532.0,0
15332.0,0
15275.0,0
15285.0,0
15110.0,0
15030.0,0
15014.0,0
14962.0,0
14894.0,0
14717.0,0
14644.0,0
14651.0,0
14594.0,0
14463.0,0
14265.0,0
14236.0,0
14256.0,0
14177.0,0
14090.0,0
13911.0,0
13838.0,0
13884.0,0
13743.0,0
13650.0,0
13598.0,0
13432.0,0
13291.0,0
13212.0,0
13448.0,0
14102.0,0
14710.0,1
14488.0,0
13321.0,0
12526.0,0
12599.0,0
12678.0,0
12560.0,0
12437.0,0
12399.0,0
12460.0,0
12530.0,0
12571.0,0
12356.0,0
12322.0,0
12796.0,0
12610.0,0
11877.0,0
11865.0,0
12081.0,0
11899.0,0
11704.0,0
11713.0,0
11768.0,0
11709.0,0
11661.0,0
11556.0,0
11445.0,0
11511.0,0
11470.0,0
11368.0,0
11359.0,0
11273.0,0
11245.0,0
11173.0,0
11025.0,0
11023.0,0
10984.0,0
10887.0,0
10773.0,0
10664.0,0
10691.0,0
10691.0,0
10616.0,0
10514.0,0
10410.0,0
10448.0,0
10419.0,0
10310.0,0
10292.0,0
10203.0,0
10167.0,0
10142.0,0
10010.0,0
10015.0,0
10008.0,0
9922.0,0
9851.0,0
9747.0,0
9747.0,0
9760.0,0
9688.0,0
9597.0,0
9490.0,0
9508.0,0
9517.0,0
9408.0,0
9374.0,0
9304.0,0
9261.0,0
9261.0,0
9134.0,0
9109.0,0
9113.0,0
9022.0,0
8988.0,0
9011.0,0
9070.0,0
8966.0,0
8791.0,0
8761.0,0
8666.0,0
8609.0,0
8655.0,0
8596.0,0
8541.0,0
8482.0,0
8580.0,0
8791.0,0
8503.0,0
8155.0,0
8226.0,0
8235.0,0
8128.0,0
8021.0,0
7926.0,0
7890.0,0
7967.0,0
8348.0,0
8979.0,0
9411.0,1
8963.0,0
7865.0,0
7360.0,0
7483.0,0
7506.0,0
7492.0,0
7465.0,0
7463.0,0
7515.0,0
7469.0,0
7458.0,0
7420.0,0
7367.0,0
7429.0,0
7383.0,0
7304.0,0
7272.0,0
7240.0,0
7279.0,0
7245.0,0
7174.0,0
7152.0,0
7108.0,0
7140.0,0
7099.0,0
7031.0,0
7072.0,0
7027.0,0
6990.0,0
6959.0,0
6886.0,0
6920.0,0
6879.0,0
6779.0,0
6732.0,0
6657.0,0
6661.0,0
6650.0,0
6564.0,0
6534.0,0
6495.0,0
6545.0,0
6561.0,0
6405.0,0
6361.0,0
6359.0,0
6327.0,0
6300.0,0
6228.0,0
6252.0,0
6246.0,0
6162.0,0
6153.0,0
6107.0,0
6103.0,0
6116.0,0
6035.0,0
6003.0,0
5978.0,0
6075.0,0
6150.0,0
5876.0,0
5726.0,0
5798.0,0
5773.0,0
5726.0,0
5676.0,0
5696.0,0
5692.0,0
5601.0,0
5614.0,0
5617.0,0
5610.0,0
5630.0,0
5555.0,0
5505.0,0
5476.0,0
5453.0,0
5476.0,0
5406.0,0
5378.0,0
5383.0,0
5333.0,0
5342.0,0
5294.0,0
5269.0,0
5301.0,0
5224.0,0
5183.0,0
5119.0,0
4979.0,0
4988.0,0
5188.0,0
5696.0,0
6361.0,0
6457.0,1
5644.0,0
4709.0,0
4597.0,0
4824.0,0
4736.0,0
4722.0,0
4781.0,0
4763.0,0
4802.0,0
4786.0,0
4795.0,0
4815.0,0
4727.0,0
4711.0,0
4690.0,0
4661.0,0
4677.0,0
4656.0,0
4693.0,0
4679.0,0
4620.0,0
4647.0,0
4631.0,0
4622.0,0
4606.0,0
4568.0,0
4613.0,0
4581.0,0
4534.0,0
4545.0,0
4509.0,0
4572.0,0
4561.0,0
4345.0,0
4236.0,0
4254.0,0
4282.0,0
4243.0,0
4175.0,0
4202.0,0
4184.0,0
4164.0,0
4168.0,0
4111.0,0
4134.0,0
4123.0,0
4064.0,0
4086.0,0
4064.0,0
4068.0,0
4061.0,0
3982.0,0
4002.0,0
3991.0,0
3966.0,0
3977.0,0
3912.0,0
3912.0,0
3921.0,0
3884.0,0
3884.0,0
3841.0,0
3837.0,0
3830.0,0
3775.0,0
3789.0,0
3744.0,0
3732.0,0
3782.0,0
3725.0,0
3719.0,0
3719.0,0
3669.0,0
3666.0,0
3605.0,0
3601.0,0
3626.0,0
3541.0,0
3505.0,0
3485.0,0
3480.0,0
3487.0,0
3433.0,0
3444.0,0
3433.0,0
3383.0,0
3326.0,0
3158.0,0
3203.0,0
3589.0,0
4198.0,0
4811.0,1
4552.0,0
3492.0,0
2869.0,0
2944.0,0
3071.0,0
2990.0,0
2994.0,0
3092.0,0
3047.0,0
