timestamp,ecg
0.0,-2479
7.6923076923076925,-2477
15.384615384615385,-2484
23.076923076923077,-2498
30.76923076923077,-2500
38.46153846153846,-2472
46.15384615384615,-2432
53.84615384615385,-2425
61.53846153846154,-2460
69.23076923076923,-2484
76.92307692307692,-2285
84.61538461538461,-1680
92.3076923076923,-918
100.0,-590
107.6923076923077,-1108
115.38461538461539,-2163
123.07692307692308,-2763
130.76923076923077,-2596
138.46153846153845,-2395
146.15384615384616,-2381
153.84615384615384,-2287
161.53846153846155,-2217
169.23076923076923,-2219
176.92307692307693,-2184
184.6153846153846,-2130
192.30769230769232,-2104
200.0,-2088
207.6923076923077,-2069
215.3846153846154,-2036
223.0769230769231,-2022
230.76923076923077,-2057
238.46153846153848,-2057
246.15384615384616,-1982
253.84615384615384,-1933
261.53846153846155,-1907
269.2307692307692,-1858
276.9230769230769,-1823
284.61538461538464,-1795
292.3076923076923,-1757
300.0,-1729
307.6923076923077,-1717
315.3846153846154,-1717
323.0769230769231,-1720
330.7692307692308,-1725
338.46153846153845,-1755
346.1538461538462,-1792
353.84615384615387,-1821
361.53846153846155,-1860
369.2307692307692,-1910
376.9230769230769,-1938
384.61538461538464,-1964
392.3076923076923,-1982
400.0,-1968
407.6923076923077,-1942
415.3846153846154,-1928
423.0769230769231,-1919
430.7692307692308,-1903
438.46153846153845,-1889
446.1538461538462,-1867
453.84615384615387,-1837
461.53846153846155,-1804
469.2307692307692,-1781
476.92307692307696,-1767
484.61538461538464,-1760
492.3076923076923,-1743
500.0,-1729
507.6923076923077,-1722
515.3846153846154,-1708
523.0769230769231,-1715
530.7692307692308,-1729
538.4615384615385,-1703
546.1538461538462,-1666
553.8461538461538,-1657
561.5384615384615,-1654
569.2307692307693,-1661
576.9230769230769,-1673
584.6153846153846,-1647
592.3076923076924,-1610
600.0,-1598
607.6923076923077,-1593
615.3846153846154,-1598
623.0769230769231,-1603
630.7692307692308,-1572
638.4615384615385,-1539
646.1538461538462,-1532
653.8461538461538,-1549
661.5384615384615,-1624
669.2307692307693,-1668
676.9230769230769,-1593
684.6153846153846,-1528
692.3076923076924,-1504
700.0,-1446
707.6923076923077,-1427
715.3846153846154,-1457
723.0769230769231,-1448
730.7692307692308,-1425
738.4615384615385,-1460
746.1538461538462,-1502
753.8461538461538,-1485
761.5384615384615,-1462
769.2307692307693,-1478
776.9230769230769,-1485
784.6153846153846,-1296
792.3076923076924,-712
800.0,21
807.6923076923077,318
815.3846153846154,-208
823.0769230769231,-1228
830.7692307692308,-1795
838.4615384615385,-1652
846.1538461538462,-1495
853.8461538461539,-1492
861.5384615384615,-1375
869.2307692307693,-1284
876.9230769230769,-1303
884.6153846153846,-1291
892.3076923076924,-1258
900.0,-1244
907.6923076923077,-1216
915.3846153846154,-1174
923.0769230769231,-1160
930.7692307692308,-1157
938.4615384615385,-1143
946.1538461538462,-1113
953.8461538461539,-1078
961.5384615384615,-1045
969.2307692307693,-1021
976.9230769230769,-1003
984.6153846153846,-984
992.3076923076924,-953
1000.0,-911
1007.6923076923077,-878
1015.3846153846154,-864
1023.0769230769231,-867
1030.7692307692307,-876
1038.4615384615386,-883
1046.1538461538462,-902
1053.8461538461538,-935
1061.5384615384617,-984
1069.2307692307693,-1050
1076.923076923077,-1108
1084.6153846153848,-1146
1092.3076923076924,-1155
1100.0,-1150
1107.6923076923076,-1160
1115.3846153846155,-1169
1123.076923076923,-1162
1130.7692307692307,-1148
1138.4615384615386,-1127
1146.1538461538462,-1103
1153.8461538461538,-1099
1161.5384615384617,-1103
1169.2307692307693,-1103
1176.923076923077,-1087
1184.6153846153848,-1057
1192.3076923076924,-1042
1200.0,-1092
1207.6923076923076,-1148
1215.3846153846155,-1113
1223.076923076923,-1059
1230.7692307692307,-1054
1238.4615384615386,-1071
1246.1538461538462,-1103
1253.8461538461538,-1099
1261.5384615384617,-1059
1269.2307692307693,-1040
1276.923076923077,-1014
1284.6153846153848,-989
1292.3076923076924,-998
1300.0,-993
1307.6923076923076,-972
1315.3846153846155,-972
1323.076923076923,-965
1330.7692307692307,-949
1338.4615384615386,-953
1346.1538461538462,-956
1353.8461538461538,-942
1361.5384615384617,-935
1369.2307692307693,-928
